world_index,X,Y
600,1203.0,1022.0
600,1503.0,1033.0
601,1470.0,934.0
601,1626.0,944.0
602,1441.0,1086.0
602,1578.0,990.0
603,1645.0,971.0
603,1664.0,966.0
604,1578.0,972.0
604,1542.0,1055.0
605,1623.0,1063.0
605,1643.0,1056.0
606,1654.0,990.0
606,1658.0,987.0
607,1663.0,1012.0
607,1663.0,1011.0
608,1651.0,985.0
608,1652.0,985.0
609,1600.0,1068.0
609,1602.0,1068.0
611,1688.0,1009.0
611,1690.0,1008.0
611,1650.0,988.0
611,1650.0,987.0
613,1665.0,1020.0
613,1680.0,1024.0
614,1564.0,1115.0
614,1566.0,1113.0
616,1497.0,1215.0
616,1529.0,1222.0
617,1595.0,1171.0
617,1623.0,1180.0
620,1622.0,1124.0
620,1606.0,1129.0
621,1556.0,1221.0
621,1544.0,1232.0
621,1527.0,1238.0
621,1523.0,1245.0
622,1511.0,1218.0
622,1511.0,1221.0
624,1565.0,1142.0
624,1568.0,1143.0
625,1561.0,1145.0
625,1674.0,1043.0
626,1673.0,1075.0
626,1671.0,1066.0
627,1592.0,1158.0
627,1593.0,1157.0
628,1524.0,1190.0
628,1532.0,1187.0
629,1509.0,1176.0
629,1702.0,1006.0
631,1574.0,1069.0
637,1712.0,1019.0
637,1822.0,974.0
639,1891.0,949.0
639,1855.0,1041.0
641,1826.0,1111.0
641,1815.0,1146.0
643,1895.0,1014.0
643,1922.0,966.0
644,1930.0,932.0
644,1932.0,922.0
646,1937.0,932.0
646,1938.0,931.0
648,1940.0,928.0
648,1936.0,932.0
650,1945.0,932.0
650,1945.0,934.0
652,1946.0,915.0
652,1943.0,916.0
653,1947.0,925.0
656,2024.0,844.0
656,1974.0,896.0
657,2004.0,884.0
657,2050.0,874.0
659,2090.0,837.0
659,2103.0,847.0
660,2122.0,815.0
660,2123.0,809.0
662,2110.0,842.0
662,2107.0,827.0
664,2114.0,826.0
664,2125.0,821.0
665,2102.0,832.0
669,2095.0,837.0
669,2094.0,840.0
670,1999.0,828.0
671,1821.0,930.0
671,1800.0,935.0
673,1857.0,907.0
673,1863.0,904.0
674,1837.0,917.0
674,1825.0,928.0
675,1814.0,921.0
676,1766.0,906.0
678,1719.0,937.0
678,1704.0,940.0
680,1691.0,927.0
680,1679.0,934.0
681,1738.0,943.0
681,1689.0,954.0
683,1774.0,881.0
683,1768.0,883.0
684,1725.0,944.0
684,1758.0,902.0
685,1787.0,870.0
685,1791.0,865.0
686,1808.0,859.0
686,1808.0,858.0
687,1782.0,834.0
687,1765.0,880.0
688,1803.0,852.0
688,1798.0,873.0
689,1823.0,869.0
689,1818.0,877.0
690,1939.0,929.0
690,2020.0,882.0
690,2059.0,885.0
690,2087.0,924.0
691,2100.0,906.0
691,2094.0,906.0
692,2105.0,912.0
692,2040.0,959.0
693,2034.0,1002.0
693,2086.0,926.0
693,2115.0,897.0
693,2120.0,926.0
694,2194.0,986.0
694,2242.0,990.0
695,2259.0,1043.0
695,2262.0,1062.0
696,2268.0,1081.0
696,2268.0,1082.0
697,2290.0,1078.0
697,2288.0,1074.0
698,2290.0,1064.0
698,2288.0,1060.0
698,2277.0,1090.0
698,2276.0,1090.0
699,2248.0,1016.0
699,2247.0,1015.0
700,2267.0,1053.0
700,2259.0,1036.0
701,2178.0,1050.0
701,2087.0,1039.0
701,2082.0,984.0
701,2070.0,981.0
702,2054.0,1029.0
702,2053.0,1027.0
703,2097.0,1028.0
703,2108.0,1085.0
703,2118.0,1064.0
703,2102.0,965.0
704,2099.0,955.0
704,2094.0,952.0
705,2079.0,1001.0
705,2077.0,997.0
706,2051.0,962.0
706,1916.0,947.0
707,1881.0,938.0
707,1868.0,910.0
707,1875.0,902.0
707,1873.0,899.0
708,1863.0,902.0
708,1865.0,899.0
709,1873.0,896.0
709,1871.0,897.0
710,1863.0,903.0
710,1860.0,906.0
710,1864.0,908.0
710,1866.0,907.0
711,1857.0,912.0
711,1865.0,902.0
712,1867.0,904.0
712,1863.0,905.0
713,1859.0,909.0
713,1771.0,919.0
714,1736.0,920.0
714,1719.0,940.0
714,1736.0,938.0
714,1737.0,935.0
715,1674.0,1006.0
715,1674.0,1006.0
715,1705.0,996.0
715,1751.0,930.0
716,1742.0,930.0
716,1744.0,931.0
716,1591.0,1034.0
716,1673.0,940.0
717,1841.0,976.0
722,2910.0,678.0
722,2939.0,680.0
722,3518.0,814.0
722,3537.0,839.0
722,3647.0,933.0
722,3780.0,977.0
723,3660.0,894.0
723,3468.0,829.0
724,3613.0,878.0
724,3603.0,871.0
726,3628.0,964.0
726,3798.0,1002.0
728,3507.0,877.0
728,3509.0,924.0
729,3499.0,964.0
729,3485.0,971.0
731,3641.0,972.0
731,3504.0,979.0
733,3301.0,1202.0
733,3305.0,1192.0
735,3603.0,988.0
735,3600.0,978.0
737,3589.0,999.0
737,3591.0,991.0
738,3617.0,959.0
738,3618.0,955.0
740,3586.0,1004.0
740,3431.0,995.0
742,3340.0,1037.0
742,3134.0,1034.0
743,3327.0,1008.0
743,3557.0,1003.0
745,3362.0,996.0
745,3274.0,1053.0
747,3226.0,1036.0
747,3176.0,1020.0
749,3180.0,1059.0
749,3174.0,1054.0
750,3160.0,1063.0
750,3155.0,1053.0
752,3169.0,1063.0
752,3177.0,1072.0
753,3154.0,1089.0
753,3161.0,1097.0
755,3187.0,1113.0
755,3192.0,1113.0
757,3195.0,1086.0
757,3087.0,1120.0
758,3025.0,1131.0
758,2996.0,1131.0
760,2942.0,1166.0
760,2940.0,1165.0
761,2940.0,1158.0
761,2943.0,1154.0
763,2931.0,1163.0
763,2937.0,1154.0
765,2937.0,1196.0
